"Time","Frequency (Hz)","Level (dBm)","Level_1 (dBm)","Level_2 (dBm)","Level_3 (dBm)","Value Count","File Info"
"8/8/2021  20:10:00,000","  2115500000","-104,9","   6,4","-128,8"," -94,0","136",
"8/8/2021  20:10:00,000","  2115600000","-104,0","   6,0","-127,0"," -92,0","136",
"8/8/2021  20:10:00,000","  2115700000","-102,4","   5,3","-119,0"," -90,3","136",
"8/8/2021  20:10:00,000","  2115800000","-101,9","   6,3","-126,6"," -91,5","136",
"8/8/2021  20:10:00,000","  2115900000","-102,1","   5,6","-118,0"," -90,5","136",
"8/8/2021  20:10:00,000","  2116000000","-102,3","   6,1","-120,6"," -91,0","136",
"8/8/2021  20:10:00,000","  2116100000","-100,8","   5,4","-116,1"," -89,6","136",
"8/8/2021  20:10:00,000","  2116200000","-100,9","   5,3","-117,0"," -90,2","136",
"8/8/2021  20:10:00,000","  2116300000","-101,7","   5,9","-118,7"," -90,3","136",
"8/8/2021  20:10:00,000","  2116400000","-101,6","   5,5","-123,0"," -90,0","136",
"8/8/2021  20:10:00,000","  2116500000","-102,6","   5,9","-122,8"," -90,2","136",
"8/8/2021  20:10:00,000","  2116600000","-102,5","   6,1","-121,5"," -88,9","136",
"8/8/2021  20:10:00,000","  2116700000","-102,3","   5,7","-117,9"," -91,4","136",
"8/8/2021  20:10:00,000","  2116800000","-102,4","   6,7","-134,9"," -89,9","136",
"8/8/2021  20:10:00,000","  2116900000","-102,0","   6,0","-123,8"," -88,8","136",
"8/8/2021  20:10:00,000","  2117000000","-101,5","   6,1","-120,1"," -89,5","136",
"8/8/2021  20:10:00,000","  2117100000","-101,5","   6,0","-118,2"," -90,9","136",
"8/8/2021  20:10:00,000","  2117200000","-101,7","   6,1","-133,1"," -91,5","136",
"8/8/2021  20:10:00,000","  2117300000","-101,9","   5,9","-121,3"," -92,0","136",
"8/8/2021  20:10:00,000","  2117400000","-102,1","   6,3","-127,1"," -90,2","136",
"8/8/2021  20:10:00,000","  2117500000","-102,1","   6,0","-121,5"," -90,1","136",
"8/8/2021  20:10:00,000","  2117600000","-101,6","   5,8","-129,9"," -89,1","136",
"8/8/2021  20:10:00,000","  2117700000","-101,2","   5,5","-124,1"," -90,4","136",
"8/8/2021  20:10:00,000","  2117800000","-101,4","   6,0","-125,3"," -89,3","136",
"8/8/2021  20:10:00,000","  2117900000","-101,6","   6,6","-120,4"," -86,1","136",
"8/8/2021  20:10:00,000","  2118000000","-101,7","   6,5","-122,4"," -84,8","136",
"8/8/2021  20:10:00,000","  2118100000","-102,3","   6,9","-123,3"," -85,2","136",
"8/8/2021  20:10:00,000","  2118200000","-102,7","   6,1","-119,7"," -89,3","136",
"8/8/2021  20:10:00,000","  2118300000","-101,9","   6,1","-121,7"," -91,0","136",
"8/8/2021  20:10:00,000","  2118400000","-101,3","   5,8","-122,9"," -90,5","136",
"8/8/2021  20:10:00,000","  2118500000","-101,3","   5,6","-119,1"," -91,3","136",
"8/8/2021  20:10:00,000","  2118600000","-101,0","   6,2","-123,7"," -90,6","136",
"8/8/2021  20:10:00,000","  2118700000","-101,3","   6,1","-121,5"," -89,4","136",
"8/8/2021  20:10:00,000","  2118800000","-101,6","   6,0","-122,3"," -88,1","136",
"8/8/2021  20:10:00,000","  2118900000","-102,8","   6,2","-126,0"," -89,2","136",
"8/8/2021  20:10:00,000","  2119000000","-103,1","   6,6","-126,1"," -92,2","136",
"8/8/2021  20:10:00,000","  2119100000","-102,8","   6,2","-122,6"," -92,2","136",
"8/8/2021  20:10:00,000","  2119200000","-103,7","   6,0","-120,9"," -92,2","136",
"8/8/2021  20:10:00,000","  2119300000","-104,7","   6,4","-127,5"," -93,3","136",
"8/8/2021  20:10:00,000","  2119400000","-105,7","   6,6","-137,8"," -94,1","136",
"8/8/2021  20:10:00,000","  2119500000","-106,9","   5,1","-122,5"," -97,1","136",
"8/8/2021  20:10:00,000","  2119600000","-109,8","   6,0","-132,3"," -99,3","136",
"8/8/2021  20:10:00,000","  2119700000","-111,7","   4,9","-127,2","-102,7","136",
"8/8/2021  20:10:00,000","  2119800000","-111,8","   4,5","-126,1","-101,2","136",
"8/8/2021  20:10:00,000","  2119900000","-112,0","   5,3","-128,8","-103,3","136",
"8/8/2021  20:10:00,000","  2120000000","-110,9","   5,3","-135,6","-101,1","136",
"8/8/2021  20:10:00,000","  2120100000","-108,9","   4,8","-126,4","-101,1","136",
"8/8/2021  20:10:00,000","  2120200000","-105,4","   5,8","-124,4"," -93,2","136",
"8/8/2021  20:10:00,000","  2120300000","-101,5","   4,9","-119,5"," -90,5","136",
"8/8/2021  20:10:00,000","  2120400000"," -99,9","   5,7","-123,9"," -87,9","136",
"8/8/2021  20:10:00,000","  2120500000"," -98,1","   6,2","-122,8"," -87,1","136",
"8/8/2021  20:10:00,000","  2120600000"," -96,0","   6,4","-122,1"," -87,2","136",
"8/8/2021  20:10:00,000","  2120700000"," -94,9","   5,7","-117,3"," -85,7","136",
"8/8/2021  20:10:00,000","  2120800000"," -95,1","   5,0","-109,7"," -87,2","136",
"8/8/2021  20:10:00,000","  2120900000"," -95,4","   5,5","-122,7"," -86,5","136",
"8/8/2021  20:10:00,000","  2121000000"," -95,2","   5,3","-112,8"," -85,9","136",
"8/8/2021  20:10:00,000","  2121100000"," -94,8","   5,8","-116,5"," -84,9","136",
"8/8/2021  20:10:00,000","  2121200000"," -95,2","   5,8","-111,7"," -83,9","136",
"8/8/2021  20:10:00,000","  2121300000"," -94,9","   6,2","-125,2"," -84,4","136",
"8/8/2021  20:10:00,000","  2121400000"," -94,9","   5,0","-107,3"," -84,9","136",
"8/8/2021  20:10:00,000","  2121500000"," -95,2","   5,6","-118,4"," -84,1","136",
"8/8/2021  20:10:00,000","  2121600000"," -95,5","   5,9","-113,3"," -85,0","136",
"8/8/2021  20:10:00,000","  2121700000"," -96,2","   5,7","-113,8"," -86,0","136",
"8/8/2021  20:10:00,000","  2121800000"," -96,2","   5,6","-120,0"," -87,3","136",
"8/8/2021  20:10:00,000","  2121900000"," -96,5","   5,2","-110,4"," -86,9","136",
"8/8/2021  20:10:00,000","  2122000000"," -96,6","   5,7","-115,4"," -86,2","136",
