"Time","Frequency (Hz)","Level (dBm)","Level_1 (dBm)","Level_2 (dBm)","Level_3 (dBm)","Value Count","File Info"
"8/8/2021  20:15:00,000","  2146300000"," -89,3","   6,1","-109,5"," -78,6","129",
"8/8/2021  20:15:00,000","  2146400000"," -88,9","   5,7","-113,5"," -78,9","129",
"8/8/2021  20:15:00,000","  2146500000"," -88,6","   5,7","-107,1"," -78,8","129",
"8/8/2021  20:15:00,000","  2146600000"," -88,5","   6,0","-105,4"," -78,2","129",
"8/8/2021  20:15:00,000","  2146700000"," -88,7","   6,3","-107,8"," -76,2","129",
"8/8/2021  20:15:00,000","  2146800000"," -88,6","   6,2","-109,9"," -75,9","129",
"8/8/2021  20:15:00,000","  2146900000"," -87,4","   6,0","-106,6"," -74,2","129",
"8/8/2021  20:15:00,000","  2147000000"," -87,3","   6,1","-111,6"," -76,1","129",
"8/8/2021  20:15:00,000","  2147100000"," -87,2","   5,8","-107,3"," -76,3","129",
"8/8/2021  20:15:00,000","  2147200000"," -87,1","   6,0","-105,1"," -76,2","129",
"8/8/2021  20:15:00,000","  2147300000"," -87,4","   6,3","-111,5"," -74,8","129",
"8/8/2021  20:15:00,000","  2147400000"," -87,3","   6,0","-107,8"," -75,3","129",
"8/8/2021  20:15:00,000","  2147500000"," -87,0","   5,6","-108,6"," -74,3","129",
"8/8/2021  20:15:00,000","  2147600000"," -87,0","   5,1","-100,8"," -75,1","129",
"8/8/2021  20:15:00,000","  2147700000"," -87,1","   5,6","-115,9"," -75,3","129",
"8/8/2021  20:15:00,000","  2147800000"," -86,8","   5,6","-102,4"," -76,4","129",
"8/8/2021  20:15:00,000","  2147900000"," -86,9","   6,0","-103,5"," -74,2","129",
"8/8/2021  20:15:00,000","  2148000000"," -87,3","   6,0","-106,8"," -75,3","129",
"8/8/2021  20:15:00,000","  2148100000"," -87,5","   6,9","-122,9"," -76,1","129",
"8/8/2021  20:15:00,000","  2148200000"," -87,3","   6,3","-107,0"," -75,3","129",
"8/8/2021  20:15:00,000","  2148300000"," -87,0","   5,8","-106,2"," -74,3","129",
"8/8/2021  20:15:00,000","  2148400000"," -87,4","   6,7","-118,5"," -72,9","129",
"8/8/2021  20:15:00,000","  2148500000"," -87,6","   6,4","-109,1"," -74,0","129",
"8/8/2021  20:15:00,000","  2148600000"," -87,7","   6,0","-107,1"," -76,5","129",
"8/8/2021  20:15:00,000","  2148700000"," -88,2","   6,3","-114,9"," -76,8","129",
"8/8/2021  20:15:00,000","  2148800000"," -88,5","   6,6","-109,8"," -77,0","129",
"8/8/2021  20:15:00,000","  2148900000"," -88,2","   5,6","-105,6"," -76,9","129",
"8/8/2021  20:15:00,000","  2149000000"," -89,0","   5,9","-108,2"," -75,2","129",
"8/8/2021  20:15:00,000","  2149100000"," -89,6","   6,8","-124,2"," -75,1","129",
"8/8/2021  20:15:00,000","  2149200000"," -89,1","   7,0","-115,6"," -76,2","129",
"8/8/2021  20:15:00,000","  2149300000"," -88,4","   6,7","-108,6"," -75,5","129",
"8/8/2021  20:15:00,000","  2149400000"," -89,0","   6,8","-110,7"," -75,5","129",
"8/8/2021  20:15:00,000","  2149500000"," -91,1","   6,7","-120,9"," -76,6","129",
"8/8/2021  20:15:00,000","  2149600000"," -94,7","   6,8","-127,3"," -81,3","129",
"8/8/2021  20:15:00,000","  2149700000"," -98,9","   5,3","-116,2"," -87,8","129",
"8/8/2021  20:15:00,000","  2149800000","-106,6","   5,0","-122,9"," -95,7","129",
"8/8/2021  20:15:00,000","  2149900000","-112,1","   5,3","-125,7","-102,5","129",
"8/8/2021  20:15:00,000","  2150000000","-113,7","   5,7","-143,2","-104,2","129",
"8/8/2021  20:15:00,000","  2150100000","-113,6","   5,5","-136,5","-103,1","129",
"8/8/2021  20:15:00,000","  2150200000","-113,9","   5,4","-131,5","-103,6","129",
"8/8/2021  20:15:00,000","  2150300000","-112,0","   5,4","-132,1","-102,0","129",
"8/8/2021  20:15:00,000","  2150400000","-107,2","   5,6","-123,8"," -96,2","129",
"8/8/2021  20:15:00,000","  2150500000","-101,3","   6,4","-123,2"," -85,9","129",
"8/8/2021  20:15:00,000","  2150600000"," -96,1","   5,8","-118,6"," -83,0","129",
"8/8/2021  20:15:00,000","  2150700000"," -92,8","   5,9","-113,6"," -79,4","129",
"8/8/2021  20:15:00,000","  2150800000"," -90,8","   5,6","-108,5"," -79,4","129",
"8/8/2021  20:15:00,000","  2150900000"," -90,5","   6,4","-118,6"," -79,0","129",
"8/8/2021  20:15:00,000","  2151000000"," -90,2","   6,0","-106,7"," -78,7","129",
"8/8/2021  20:15:00,000","  2151100000"," -91,1","   6,2","-116,8"," -77,7","129",
"8/8/2021  20:15:00,000","  2151200000"," -91,6","   6,1","-108,3"," -80,4","129",
"8/8/2021  20:15:00,000","  2151300000"," -91,3","   5,7","-106,5"," -78,2","129",
"8/8/2021  20:15:00,000","  2151400000"," -92,0","   6,5","-111,8"," -77,7","129",
"8/8/2021  20:15:00,000","  2151500000"," -91,2","   6,4","-118,4"," -78,3","129",
"8/8/2021  20:15:00,000","  2151600000"," -90,7","   5,6","-108,9"," -77,9","129",
"8/8/2021  20:15:00,000","  2151700000"," -90,8","   6,2","-110,1"," -77,6","129",
"8/8/2021  20:15:00,000","  2151800000"," -90,8","   5,8","-105,7"," -77,1","129",
"8/8/2021  20:15:00,000","  2151900000"," -90,7","   5,3","-103,6"," -78,3","129",
"8/8/2021  20:15:00,000","  2152000000"," -90,9","   6,0","-108,3"," -78,1","129",
"8/8/2021  20:15:00,000","  2152100000"," -90,7","   6,4","-110,2"," -78,2","129",
"8/8/2021  20:15:00,000","  2152200000"," -90,7","   6,4","-110,2"," -77,7","129",
"8/8/2021  20:15:00,000","  2152300000"," -91,1","   6,5","-125,4"," -79,9","129",
"8/8/2021  20:15:00,000","  2152400000"," -90,5","   5,9","-107,4"," -78,1","129",
"8/8/2021  20:15:00,000","  2152500000"," -90,4","   6,3","-108,6"," -78,9","129",
"8/8/2021  20:15:00,000","  2152600000"," -90,3","   6,1","-112,8"," -79,6","129",
"8/8/2021  20:15:00,000","  2152700000"," -91,1","   6,2","-111,6"," -79,2","129",
"8/8/2021  20:15:00,000","  2152800000"," -90,5","   6,1","-115,9"," -79,9","129",
"8/8/2021  20:15:00,000","  2152900000"," -89,9","   6,4","-121,7"," -78,2","129",
"8/8/2021  20:15:00,000","  2153000000"," -90,3","   6,1","-112,4"," -78,1","129",
"8/8/2021  20:15:00,000","  2153100000"," -90,6","   6,2","-113,1"," -77,9","129",
"8/8/2021  20:15:00,000","  2153200000"," -90,6","   7,3","-122,5"," -77,4","129",
"8/8/2021  20:15:00,000","  2153300000"," -90,2","   5,9","-108,8"," -78,6","129",
"8/8/2021  20:15:00,000","  2153400000"," -90,8","   6,5","-113,2"," -78,7","129",
"8/8/2021  20:15:00,000","  2153500000"," -91,0","   6,6","-110,2"," -77,7","129",
"8/8/2021  20:15:00,000","  2153600000"," -90,5","   6,3","-114,5"," -76,5","129",
"8/8/2021  20:15:00,000","  2153700000"," -90,3","   6,1","-109,1"," -76,9","129",
"8/8/2021  20:15:00,000","  2153800000"," -90,4","   6,5","-111,5"," -79,4","129",
"8/8/2021  20:15:00,000","  2153900000"," -90,5","   7,0","-126,8"," -79,6","129",
"8/8/2021  20:15:00,000","  2154000000"," -90,0","   5,8","-111,1"," -79,4","129",
"8/8/2021  20:15:00,000","  2154100000"," -90,0","   5,4","-104,0"," -78,4","129",
"8/8/2021  20:15:00,000","  2154200000"," -90,0","   5,5","-103,5"," -77,6","129",
"8/8/2021  20:15:00,000","  2154300000"," -90,5","   6,7","-113,9"," -77,5","129",
"8/8/2021  20:15:00,000","  2154400000"," -91,1","   6,4","-113,7"," -75,5","129",
"8/8/2021  20:15:00,000","  2154500000"," -93,1","   6,1","-111,4"," -78,0","129",
"8/8/2021  20:15:00,000","  2154600000"," -95,7","   5,8","-113,9"," -85,1","129",
"8/8/2021  20:15:00,000","  2154700000","-100,5","   5,4","-121,2"," -91,6","129",
"8/8/2021  20:15:00,000","  2154800000","-106,6","   5,8","-139,6"," -97,4","129",
"8/8/2021  20:15:00,000","  2154900000","-112,2","   5,8","-128,6","-103,4","129",
"8/8/2021  20:15:00,000","  2155000000","-112,0","   5,2","-130,9","-101,3","129",
"8/8/2021  20:15:00,000","  2155100000","-107,3","   5,6","-127,1"," -96,4","129",
"8/8/2021  20:15:00,000","  2155200000","-102,5","   6,3","-127,2"," -90,5","129",
"8/8/2021  20:15:00,000","  2155300000"," -98,7","   6,1","-114,5"," -87,5","129",
"8/8/2021  20:15:00,000","  2155400000"," -95,6","   5,9","-113,8"," -84,0","129",
"8/8/2021  20:15:00,000","  2155500000"," -93,9","   5,6","-114,3"," -81,0","129",
"8/8/2021  20:15:00,000","  2155600000"," -93,1","   5,9","-110,0"," -81,3","129",
"8/8/2021  20:15:00,000","  2155700000"," -91,9","   6,0","-122,9"," -81,4","129",
"8/8/2021  20:15:00,000","  2155800000"," -91,8","   6,1","-113,0"," -80,8","129",
"8/8/2021  20:15:00,000","  2155900000"," -91,0","   5,2","-106,5"," -80,5","129",
"8/8/2021  20:15:00,000","  2156000000"," -91,2","   5,1","-105,5"," -80,2","129",
"8/8/2021  20:15:00,000","  2156100000"," -91,1","   5,3","-111,2"," -78,7","129",
"8/8/2021  20:15:00,000","  2156200000"," -91,7","   5,6","-113,3"," -76,0","129",
"8/8/2021  20:15:00,000","  2156300000"," -91,8","   5,9","-117,8"," -78,0","129",
"8/8/2021  20:15:00,000","  2156400000"," -92,6","   6,4","-128,0"," -81,9","129",
"8/8/2021  20:15:00,000","  2156500000"," -93,0","   6,0","-128,8"," -83,0","129",
"8/8/2021  20:15:00,000","  2156600000"," -92,9","   5,9","-116,4"," -81,9","129",
"8/8/2021  20:15:00,000","  2156700000"," -92,8","   5,4","-110,4"," -80,8","129",
"8/8/2021  20:15:00,000","  2156800000"," -92,4","   5,5","-116,1"," -80,7","129",
"8/8/2021  20:15:00,000","  2156900000"," -93,0","   6,0","-110,4"," -81,8","129",
"8/8/2021  20:15:00,000","  2157000000"," -92,6","   6,2","-119,8"," -81,9","129",
"8/8/2021  20:15:00,000","  2157100000"," -92,1","   7,2","-127,8"," -80,5","129",
"8/8/2021  20:15:00,000","  2157200000"," -91,5","   6,3","-116,0"," -80,2","129",
"8/8/2021  20:15:00,000","  2157300000"," -91,5","   5,6","-110,1"," -81,1","129",
"8/8/2021  20:15:00,000","  2157400000"," -92,4","   5,7","-110,3"," -82,9","129",
"8/8/2021  20:15:00,000","  2157500000"," -92,2","   5,8","-115,1"," -82,4","129",
"8/8/2021  20:15:00,000","  2157600000"," -91,6","   5,5","-107,6"," -82,4","129",
"8/8/2021  20:15:00,000","  2157700000"," -91,1","   5,7","-117,3"," -81,3","129",
"8/8/2021  20:15:00,000","  2157800000"," -91,4","   5,1","-107,1"," -82,3","129",
"8/8/2021  20:15:00,000","  2157900000"," -92,3","   6,3","-121,5"," -82,0","129",
"8/8/2021  20:15:00,000","  2158000000"," -92,7","   6,4","-119,1"," -79,6","129",
"8/8/2021  20:15:00,000","  2158100000"," -92,5","   5,8","-113,7"," -83,2","129",
"8/8/2021  20:15:00,000","  2158200000"," -92,2","   5,5","-109,5"," -82,3","129",
"8/8/2021  20:15:00,000","  2158300000"," -93,1","   6,6","-125,0"," -80,5","129",
"8/8/2021  20:15:00,000","  2158400000"," -93,2","   6,4","-136,1"," -79,2","129",
"8/8/2021  20:15:00,000","  2158500000"," -92,0","   5,5","-106,4"," -82,7","129",
"8/8/2021  20:15:00,000","  2158600000"," -91,8","   6,5","-133,5"," -82,1","129",
"8/8/2021  20:15:00,000","  2158700000"," -92,1","   5,8","-109,5"," -80,9","129",
"8/8/2021  20:15:00,000","  2158800000"," -92,1","   5,4","-114,5"," -79,4","129",
"8/8/2021  20:15:00,000","  2158900000"," -92,3","   5,8","-112,3"," -82,8","129",
"8/8/2021  20:15:00,000","  2159000000"," -92,5","   6,5","-116,4"," -81,3","129",
"8/8/2021  20:15:00,000","  2159100000"," -92,6","   5,6","-122,0"," -83,0","129",
"8/8/2021  20:15:00,000","  2159200000"," -93,5","   5,4","-116,5"," -85,4","129",
"8/8/2021  20:15:00,000","  2159300000"," -95,1","   5,4","-114,8"," -85,2","129",
"8/8/2021  20:15:00,000","  2159400000"," -96,3","   5,8","-117,7"," -86,4","129",
"8/8/2021  20:15:00,000","  2159500000"," -98,7","   6,0","-116,7"," -89,1","129",
"8/8/2021  20:15:00,000","  2159600000","-103,0","   6,3","-128,3"," -92,9","129",
"8/8/2021  20:15:00,000","  2159700000","-108,3","   5,5","-128,0"," -98,4","129",
"8/8/2021  20:15:00,000","  2159800000","-111,1","   5,7","-130,5","-101,4","129",
"8/8/2021  20:15:00,000","  2159900000","-108,2","   5,6","-124,9"," -97,7","129",
"8/8/2021  20:15:00,000","  2160000000","-103,6","   5,8","-120,2"," -91,5","129",
"8/8/2021  20:15:00,000","  2160100000","-101,5","   7,3","-122,1"," -88,1","129",
"8/8/2021  20:15:00,000","  2160200000"," -98,6","   5,9","-119,8"," -86,6","129",
"8/8/2021  20:15:00,000","  2160300000"," -96,2","   5,6","-111,7"," -85,5","129",
"8/8/2021  20:15:00,000","  2160400000"," -95,6","   7,3","-116,9"," -83,6","129",
"8/8/2021  20:15:00,000","  2160500000"," -94,2","   5,8","-109,6"," -81,0","129",
"8/8/2021  20:15:00,000","  2160600000"," -93,4","   5,5","-108,8"," -81,9","129",
"8/8/2021  20:15:00,000","  2160700000"," -93,9","   6,9","-120,6"," -80,3","129",
"8/8/2021  20:15:00,000","  2160800000"," -93,5","   6,5","-118,8"," -81,2","129",
"8/8/2021  20:15:00,000","  2160900000"," -93,3","   5,6","-108,9"," -82,1","129",
"8/8/2021  20:15:00,000","  2161000000"," -93,5","   6,5","-112,5"," -81,0","129",
"8/8/2021  20:15:00,000","  2161100000"," -92,6","   5,7","-113,9"," -82,0","129",
"8/8/2021  20:15:00,000","  2161200000"," -93,5","   6,7","-120,1"," -81,6","129",
"8/8/2021  20:15:00,000","  2161300000"," -93,1","   5,1","-113,1"," -81,0","129",
"8/8/2021  20:15:00,000","  2161400000"," -94,0","   6,3","-117,9"," -80,1","129",
"8/8/2021  20:15:00,000","  2161500000"," -94,7","   6,4","-120,4"," -79,9","129",
"8/8/2021  20:15:00,000","  2161600000"," -93,9","   6,1","-123,3"," -81,5","129",
"8/8/2021  20:15:00,000","  2161700000"," -93,3","   5,5","-113,7"," -81,3","129",
"8/8/2021  20:15:00,000","  2161800000"," -93,9","   6,5","-115,7"," -80,7","129",
"8/8/2021  20:15:00,000","  2161900000"," -93,6","   6,6","-115,0"," -80,3","129",
"8/8/2021  20:15:00,000","  2162000000"," -93,6","   6,1","-111,8"," -83,4","129",
"8/8/2021  20:15:00,000","  2162100000"," -93,2","   5,8","-113,0"," -81,5","129",
"8/8/2021  20:15:00,000","  2162200000"," -92,7","   5,9","-111,8"," -80,5","129",
"8/8/2021  20:15:00,000","  2162300000"," -92,1","   6,4","-122,0"," -79,1","129",
"8/8/2021  20:15:00,000","  2162400000"," -92,7","   7,1","-109,5"," -79,5","129",
"8/8/2021  20:15:00,000","  2162500000"," -92,6","   6,9","-115,3"," -79,5","129",
"8/8/2021  20:15:00,000","  2162600000"," -92,4","   5,5","-105,9"," -79,9","129",
"8/8/2021  20:15:00,000","  2162700000"," -92,6","   6,0","-110,9"," -82,0","129",
"8/8/2021  20:15:00,000","  2162800000"," -92,4","   5,8","-110,6"," -79,1","129",
"8/8/2021  20:15:00,000","  2162900000"," -92,1","   6,2","-116,8"," -77,5","129",
"8/8/2021  20:15:00,000","  2163000000"," -91,4","   5,7","-110,9"," -77,6","129",
"8/8/2021  20:15:00,000","  2163100000"," -91,3","   6,1","-111,0"," -79,6","129",
"8/8/2021  20:15:00,000","  2163200000"," -91,3","   6,1","-116,9"," -80,1","129",
"8/8/2021  20:15:00,000","  2163300000"," -91,5","   5,8","-109,2"," -79,6","129",
"8/8/2021  20:15:00,000","  2163400000"," -91,5","   6,2","-107,7"," -80,3","129",
"8/8/2021  20:15:00,000","  2163500000"," -91,2","   5,9","-109,6"," -79,2","129",
"8/8/2021  20:15:00,000","  2163600000"," -90,9","   6,3","-110,3"," -78,2","129",
"8/8/2021  20:15:00,000","  2163700000"," -91,5","   7,0","-118,9"," -77,8","129",
"8/8/2021  20:15:00,000","  2163800000"," -91,3","   6,6","-117,4"," -78,4","129",
"8/8/2021  20:15:00,000","  2163900000"," -92,2","   7,2","-118,5"," -79,0","129",
"8/8/2021  20:15:00,000","  2164000000"," -93,3","   6,5","-110,9"," -79,9","129",
"8/8/2021  20:15:00,000","  2164100000"," -94,4","   5,9","-110,3"," -83,9","129",
"8/8/2021  20:15:00,000","  2164200000"," -95,7","   6,2","-122,5"," -83,2","129",
"8/8/2021  20:15:00,000","  2164300000"," -98,4","   7,1","-131,2"," -87,1","129",
"8/8/2021  20:15:00,000","  2164400000","-102,1","   6,1","-128,8"," -88,1","129",
"8/8/2021  20:15:00,000","  2164500000","-106,8","   5,7","-130,3"," -94,6","129",
"8/8/2021  20:15:00,000","  2164600000","-109,4","   5,3","-127,5"," -99,4","129",
"8/8/2021  20:15:00,000","  2164700000","-109,0","   5,3","-133,8"," -98,3","129",
"8/8/2021  20:15:00,000","  2164800000","-109,5","   6,5","-132,4"," -97,9","129",
"8/8/2021  20:15:00,000","  2164900000","-109,7","   5,6","-130,1"," -97,8","129",
"8/8/2021  20:15:00,000","  2165000000","-110,2","   5,8","-144,3"," -99,2","129",
"8/8/2021  20:15:00,000","  2165100000","-109,6","   5,4","-126,5"," -97,2","129",
"8/8/2021  20:15:00,000","  2165200000","-108,1","   5,7","-131,2"," -96,6","129",
"8/8/2021  20:15:00,000","  2165300000","-106,1","   5,6","-126,1"," -94,1","129",
"8/8/2021  20:15:00,000","  2165400000","-105,8","   5,3","-123,7"," -95,9","129",
"8/8/2021  20:15:00,000","  2165500000","-108,0","   4,9","-123,2"," -98,0","129",
"8/8/2021  20:15:00,000","  2165600000","-109,9","   5,9","-130,4"," -98,7","129",
"8/8/2021  20:15:00,000","  2165700000","-109,0","   5,2","-123,5"," -95,9","129",
"8/8/2021  20:15:00,000","  2165800000","-106,9","   5,4","-129,7"," -93,4","129",
"8/8/2021  20:15:00,000","  2165900000","-107,4","   6,1","-131,1"," -94,3","129",
"8/8/2021  20:15:00,000","  2166000000","-108,9","   5,4","-127,4"," -97,0","129",
"8/8/2021  20:15:00,000","  2166100000","-110,1","   4,6","-125,6","-101,4","129",
"8/8/2021  20:15:00,000","  2166200000","-110,3","   6,5","-138,9"," -98,6","129",
"8/8/2021  20:15:00,000","  2166300000","-108,7","   6,4","-128,4"," -97,2","129",
"8/8/2021  20:15:00,000","  2166400000","-107,7","   6,8","-133,9"," -94,7","129",
"8/8/2021  20:15:00,000","  2166500000","-107,3","   6,0","-124,9"," -94,1","129",
"8/8/2021  20:15:00,000","  2166600000","-107,7","   5,8","-125,6"," -95,4","129",
"8/8/2021  20:15:00,000","  2166700000","-108,9","   5,3","-131,6","-100,6","129",
"8/8/2021  20:15:00,000","  2166800000","-109,4","   5,8","-130,1"," -99,3","129",
"8/8/2021  20:15:00,000","  2166900000","-108,3","   5,7","-130,1"," -97,1","129",
"8/8/2021  20:15:00,000","  2167000000","-107,8","   5,6","-130,6"," -96,1","129",
"8/8/2021  20:15:00,000","  2167100000","-108,8","   6,1","-129,3"," -96,9","129",
"8/8/2021  20:15:00,000","  2167200000","-110,7","   5,5","-124,4"," -98,3","129",
"8/8/2021  20:15:00,000","  2167300000","-111,6","   6,4","-141,8"," -99,3","129",
"8/8/2021  20:15:00,000","  2167400000","-109,4","   6,1","-131,4"," -98,3","129",
"8/8/2021  20:15:00,000","  2167500000","-108,7","   5,8","-127,1"," -97,2","129",
"8/8/2021  20:15:00,000","  2167600000","-109,0","   6,1","-137,0"," -97,7","129",
"8/8/2021  20:15:00,000","  2167700000","-109,6","   5,5","-131,6"," -99,7","129",
"8/8/2021  20:15:00,000","  2167800000","-110,7","   5,4","-125,2","-101,4","129",
"8/8/2021  20:15:00,000","  2167900000","-109,6","   5,0","-129,2","-100,4","129",
"8/8/2021  20:15:00,000","  2168000000","-110,2","   6,0","-134,3","-100,2","129",
"8/8/2021  20:15:00,000","  2168100000","-110,4","   5,4","-129,7","-102,2","129",
"8/8/2021  20:15:00,000","  2168200000","-111,2","   6,0","-137,2","-102,2","129",
"8/8/2021  20:15:00,000","  2168300000","-111,6","   6,2","-131,8","-101,4","129",
"8/8/2021  20:15:00,000","  2168400000","-110,6","   5,0","-125,4","-100,5","129",
"8/8/2021  20:15:00,000","  2168500000","-110,8","   5,2","-131,6","-100,8","129",
"8/8/2021  20:15:00,000","  2168600000","-111,3","   5,4","-130,5","-101,5","129",
"8/8/2021  20:15:00,000","  2168700000","-111,8","   5,5","-129,6","-101,7","129",
"8/8/2021  20:15:00,000","  2168800000","-112,0","   5,2","-128,0","-102,1","129",
"8/8/2021  20:15:00,000","  2168900000","-113,2","   6,5","-141,2","-102,8","129",
"8/8/2021  20:15:00,000","  2169000000","-112,9","   5,8","-135,7","-104,5","129",
"8/8/2021  20:15:00,000","  2169100000","-112,7","   5,1","-128,1","-102,6","129",
"8/8/2021  20:15:00,000","  2169200000","-112,9","   5,9","-133,7","-104,1","129",
"8/8/2021  20:15:00,000","  2169300000","-112,5","   5,4","-132,2","-102,9","129",
"8/8/2021  20:15:00,000","  2169400000","-112,3","   4,9","-129,2","-103,7","129",
"8/8/2021  20:15:00,000","  2169500000","-112,4","   5,7","-135,0","-100,6","129",
"8/8/2021  20:15:00,000","  2169600000","-112,3","   5,5","-137,3","-103,6","129",
"8/8/2021  20:15:00,000","  2169700000","-113,5","   5,2","-131,3","-104,6","129",
"8/8/2021  20:15:00,000","  2169800000","-113,6","   5,3","-129,1","-105,3","129",
"8/8/2021  20:15:00,000","  2169900000","-113,1","   5,6","-139,6","-102,9","129",
"8/8/2021  20:15:00,000","  2170000000","-112,8","   5,3","-126,3","-101,8","129",
"8/8/2021  20:20:00,000","  2110000000","-113,7","   6,0","-142,4","-104,4","129",
"8/8/2021  20:20:00,000","  2110100000","-113,1","   5,3","-130,4","-102,0","129",
"8/8/2021  20:20:00,000","  2110200000","-113,8","   5,5","-138,2","-102,5","129",
"8/8/2021  20:20:00,000","  2110300000","-114,4","   5,6","-130,2","-104,9","129",
"8/8/2021  20:20:00,000","  2110400000","-113,9","   5,1","-130,4","-103,9","129",
"8/8/2021  20:20:00,000","  2110500000","-113,2","   4,9","-127,5","-101,7","129",
"8/8/2021  20:20:00,000","  2110600000","-114,2","   6,1","-133,5","-103,0","129",
"8/8/2021  20:20:00,000","  2110700000","-114,3","   5,9","-134,8","-104,8","129",
"8/8/2021  20:20:00,000","  2110800000","-113,9","   5,5","-136,6","-103,7","129",
"8/8/2021  20:20:00,000","  2110900000","-113,5","   5,4","-131,0","-104,2","129",
"8/8/2021  20:20:00,000","  2111000000","-113,1","   5,1","-132,6","-104,1","129",
"8/8/2021  20:20:00,000","  2111100000","-113,1","   5,3","-133,8","-103,2","129",
"8/8/2021  20:20:00,000","  2111200000","-113,7","   5,3","-132,7","-104,9","129",
"8/8/2021  20:20:00,000","  2111300000","-113,9","   5,3","-129,5","-105,1","129",
"8/8/2021  20:20:00,000","  2111400000","-113,6","   5,0","-131,6","-104,1","129",
"8/8/2021  20:20:00,000","  2111500000","-113,6","   5,1","-127,4","-103,4","129",
"8/8/2021  20:20:00,000","  2111600000","-113,2","   4,5","-128,0","-105,1","129",
"8/8/2021  20:20:00,000","  2111700000","-113,7","   5,4","-132,5","-103,3","129",
"8/8/2021  20:20:00,000","  2111800000","-113,7","   5,9","-141,3","-104,3","129",
"8/8/2021  20:20:00,000","  2111900000","-113,3","   5,1","-127,6","-104,3","129",
"8/8/2021  20:20:00,000","  2112000000","-113,1","   6,2","-132,0","-103,7","129",
"8/8/2021  20:20:00,000","  2112100000","-113,4","   5,3","-126,5","-103,5","129",
"8/8/2021  20:20:00,000","  2112200000","-113,7","   6,1","-152,1","-103,5","129",
"8/8/2021  20:20:00,000","  2112300000","-113,8","   5,8","-134,5","-102,9","129",
"8/8/2021  20:20:00,000","  2112400000","-114,0","   5,7","-135,0","-103,7","129",
"8/8/2021  20:20:00,000","  2112500000","-113,5","   6,1","-139,6","-104,1","129",
"8/8/2021  20:20:00,000","  2112600000","-112,7","   4,7","-126,2","-104,8","129",
"8/8/2021  20:20:00,000","  2112700000","-113,2","   4,7","-125,6","-104,3","129",
"8/8/2021  20:20:00,000","  2112800000","-113,5","   5,5","-135,0","-104,6","129",
"8/8/2021  20:20:00,000","  2112900000","-113,0","   5,8","-150,4","-104,4","129",
"8/8/2021  20:20:00,000","  2113000000","-113,3","   5,6","-132,2","-104,0","129",
"8/8/2021  20:20:00,000","  2113100000","-113,9","   5,9","-141,5","-102,2","129",
"8/8/2021  20:20:00,000","  2113200000","-113,0","   5,1","-131,8","-103,3","129",
"8/8/2021  20:20:00,000","  2113300000","-112,5","   4,8","-135,2","-103,1","129",
"8/8/2021  20:20:00,000","  2113400000","-112,3","   4,7","-129,7","-104,1","129",
"8/8/2021  20:20:00,000","  2113500000","-112,7","   5,0","-130,6","-103,0","129",
"8/8/2021  20:20:00,000","  2113600000","-113,1","   5,0","-132,1","-104,3","129",
"8/8/2021  20:20:00,000","  2113700000","-113,5","   4,9","-127,2","-104,2","129",
"8/8/2021  20:20:00,000","  2113800000","-113,3","   5,2","-143,2","-103,0","129",
"8/8/2021  20:20:00,000","  2113900000","-112,8","   4,5","-123,7","-103,2","129",
"8/8/2021  20:20:00,000","  2114000000","-112,4","   4,6","-124,9","-102,6","129",
"8/8/2021  20:20:00,000","  2114100000","-113,2","   5,9","-135,9","-103,1","129",
"8/8/2021  20:20:00,000","  2114200000","-113,3","   5,6","-132,5","-104,5","129",
"8/8/2021  20:20:00,000","  2114300000","-112,5","   5,5","-136,7","-102,1","129",
"8/8/2021  20:20:00,000","  2114400000","-113,0","   6,0","-133,3","-101,2","129",
"8/8/2021  20:20:00,000","  2114500000","-113,2","   5,6","-135,5","-103,7","129",
"8/8/2021  20:20:00,000","  2114600000","-112,8","   4,9","-124,1","-104,0","129",
"8/8/2021  20:20:00,000","  2114700000","-112,7","   5,1","-131,3","-104,0","129",
"8/8/2021  20:20:00,000","  2114800000","-112,5","   5,2","-131,7","-105,0","129",
"8/8/2021  20:20:00,000","  2114900000","-113,4","   5,7","-134,2","-103,1","129",
"8/8/2021  20:20:00,000","  2115000000","-113,3","   5,7","-138,6","-103,2","129",
"8/8/2021  20:20:00,000","  2115100000","-111,9","   5,2","-131,6","-102,8","129",
"8/8/2021  20:20:00,000","  2115200000","-109,5","   5,7","-131,4"," -97,9","129",
"8/8/2021  20:20:00,000","  2115300000","-107,4","   5,8","-125,2"," -93,6","129",
"8/8/2021  20:20:00,000","  2115400000","-105,4","   6,1","-124,7"," -94,1","129",
"8/8/2021  20:20:00,000","  2115500000","-104,6","   5,9","-126,2"," -94,4","129",
"8/8/2021  20:20:00,000","  2115600000","-104,1","   6,8","-133,5"," -91,8","129",
"8/8/2021  20:20:00,000","  2115700000","-102,8","   6,6","-124,4"," -91,0","129",
"8/8/2021  20:20:00,000","  2115800000","-102,4","   5,8","-119,4"," -91,2","129",
"8/8/2021  20:20:00,000","  2115900000","-103,0","   6,5","-128,6"," -89,2","129",
"8/8/2021  20:20:00,000","  2116000000","-102,3","   6,6","-128,3"," -89,0","129",
"8/8/2021  20:20:00,000","  2116100000","-102,6","   6,8","-123,2"," -91,0","129",
"8/8/2021  20:20:00,000","  2116200000","-101,4","   6,1","-137,5"," -90,9","129",
